pigment,param,1,2,3,4,5,6,7,8,9,10,11,12,13
beta-carotene,sig,81.6,12.54,10.67,35.38,8.66,4.9,29.37,,,,,,
beta-cryptoxanthin,a,0.0031,0.6123,0.4611,0.5532,0.143,0.0198,0.0619,,,,,,
beta-cryptoxanthin,xp,583.73,484.64,454.21,439.61,427.07,400.77,317.35,,,,,,
beta-cryptoxanthin,sig,51.22,12.33,10.52,35.26,9.01,5.52,29.01,,,,,,
cis-canthaxanthin,a,0.1705,0.9787,0.1084,0.2837,0.274,,,,,,,,
cis-canthaxanthin,xp,496.68,461.75,414.87,362.88,288.38,,,,,,,,
cis-canthaxanthin,sig,15.4,32.62,16.62,25.5,22.5,,,,,,,,
cis-diadinoxanthin,a,0.5361,0.5156,0.4738,0.3032,0.2086,0.0775,0.1068,0.2748,,,,,
cis-diadinoxanthin,xp,474.15,443.99,441.83,417.82,394.95,371.6,340.47,328.53,,,,,
cis-diadinoxanthin,sig,9.684,10.53,31.59,8.949,11.66,9.023,4.316,17.8,,,,,
cis-echinenone,a,0.7203,0.1471,0.3701,0.5254,0.0807,0.2367,,,,,,,
cis-echinenone,xp,476.87,476.16,449.48,424.49,396.71,355.07,,,,,,,
cis-echinenone,sig,20.91,37.31,12.8,16.99,10.09,28.94,,,,,,,
diadinochrome,a,0.5721,0.6636,0.3103,0.2383,0.1888,0.0533,0.0577,,,,,,
diadinochrome,xp,460.29,431.39,430.95,404.58,383.9,363.08,346.26,,,,,,
diadinochrome,sig,7.35,23.47,6.91,7.75,9.87,8.33,65.65,,,,,,
diatoxanthin,a,0.38,0.2687,0.7661,0.1838,0.1811,0.0586,0.1688,,,,,,
diatoxanthin,xp,480.15,450.72,440.5,422.28,399.92,379.23,367.9,,,,,,
diatoxanthin,sig,7.89,6.67,28.53,6.87,9.57,6.9,25.61,,,,,,
Fucoxanthin,a,0.2254,0.1994,0.2042,0.443,0.4408,0.2292,0.0614,,,,,,
Fucoxanthin,xp,485.92,479.7,469.91,449.4,427.55,421.99,418.48,,,,,,
Fucoxanthin,sig,17.92,9.13,6.95,13.44,25.9,50.69,6.94,,,,,,
lutein,a,0.7121,0.1587,0.8912,0.6053,0.1846,0.1347,0.0605,,,,,,
lutein,xp,476.87,475.29,447.37,420.57,398.01,383.01,329.21,,,,,,
lutein,sig,10.29,20.98,10.94,11.1,8.409,13.79,26.36,,,,,,
myxoxanthophyll,a,0.6003,0.2493,0.8691,0.6179,0.2992,0.1005,0.084,,,,,,
myxoxanthophyll,xp,508.56,507.1,476.09,448.14,422.35,399.73,366.6,,,,,,
myxoxanthophyll,sig,10.95,21.58,11.31,11.37,11.06,9.81,19.45,,,,,,
neoxanthin,a,0.4336,0.4521,0.8741,0.5047,0.1219,0.2001,0.0398,,,,,,
neoxanthin,xp,467.73,466.62,438.8,413.77,410.22,391.53,369.7,,,,,,
neoxanthin,sig,6.06,10.74,9.25,8.47,46.85,9.06,6.72,,,,,,
Pheo?a,a,0.3767,0.0707,0.0728,0.0274,0.0791,0.1051,0.0319,0.8503,0.1259,0.2072,0.3278,0.2511,
Pheo?a,xp,665.58,654.99,607.96,558.63,533.6,503.82,471.61,409.94,395.96,389.67,376.96,359.67,
Pheo?a,sig,7.69,18.56,10.99,18.46,5.9,10.57,10.55,9.83,4.84,6.39,13.88,41.28,
Pheo?b,a,0.1664,0.038,0.0508,0.0346,0.0748,0.0319,0.5993,0.3204,0.1795,0.2035,0.0272,0.166,
Pheo?b,xp,653.75,646.92,598.42,560.45,524.96,481.54,436.23,433.79,411.69,410.67,369.66,356.21,
Pheo?b,sig,7.16,18.53,10.84,10.82,16.94,14.56,10.98,4,5.98,17.88,5.43,31.11,
trans-canthaxanthin,a,0.1961,0.8845,0.1347,0.1305,0.1056,,,,,,,,
trans-canthaxanthin,xp,505.15,471.26,423.27,407.4,311.24,,,,,,,,
trans-canthaxanthin,sig,15.67,30.39,20.65,65.85,11.63,,,,,,,,
trans-diadinoxanthin,a,0.5634,0.6924,0.3058,0.3057,0.1402,0.1444,0.052,,,,,,
trans-diadinoxanthin,xp,479.94,450.72,447.71,420.06,399.62,386.05,337.6,,,,,,
trans-diadinoxanthin,sig,7.884,24.09,8.052,8.962,8.748,18.69,10.84,,,,,,
trans-echinenone,a,0.3562,0.5011,0.3839,0.3104,0.1532,0.1359,,,,,,,
trans-echinenone,xp,489.03,476.48,456.04,431.82,409.3,403.64,,,,,,,
trans-echinenone,sig,16.84,28.46,12.66,12.82,14.34,70.2,,,,,,,
violaxanthin,a,0.3326,0.5912,0.7958,0.2081,0.5803,0.076,0.1848,,,,,,
violaxanthin,xp,472.04,471.68,445.43,437.28,417.59,408.04,393.5,,,,,,
violaxanthin,sig,10.76,6.55,9.17,5.42,10.69,54.73,7.08,,,,,,
